OBJECTID,POINT_X,POINT_Y
1091,-87.8016,41.93813
1092,-87.7954,41.92367
1093,-87.7516,41.93141
1094,-87.7868,41.79219
1095,-87.6389,41.94036
1096,-87.6266,41.84173
1097,-87.6453,41.80144
1098,-87.6567,41.86352
1099,-87.7277,41.95349
1100,-87.748,41.97308
1101,-87.6977,41.93194
1102,-87.6633,41.73952
1103,-87.6778,41.92147
1104,-87.6487,41.9656
1105,-87.7054,41.85549
1106,-87.7769,41.95316
1107,-87.7745,41.87634
1108,-87.6152,41.75647
1109,-87.7467,41.93164
1110,-87.6598,41.96916
1111,-87.605,41.74036
1112,-87.7236,41.80179
1113,-87.6857,41.84848
1114,-87.6284,41.90199
1115,-87.6888,41.96142
1116,-87.6773,41.90302
1117,-87.6329,41.90033
1118,-87.7683,41.97644
1119,-87.6313,41.81623
1120,-87.6277,41.875
1121,-87.6172,41.8274
1122,-87.6676,41.98818
1123,-87.7171,41.8371
1124,-87.648,41.93651
1125,-87.6969,41.89939
1126,-87.6397,41.94128
1127,-87.7109,41.87463
1128,-87.6202,41.89408
1129,-87.6202,41.71249
1130,-87.6634,41.74325
1131,-87.7867,41.95304
1132,-87.7652,41.88938
1133,-87.7065,41.88964
1134,-87.6664,41.86312
1198,-87.8195,41.95242
1199,-87.6086,41.76574
1200,-87.6812,41.88117
1201,-87.5864,41.77327
1202,-87.7005,41.89579
1203,-87.6698,41.97992
1204,-87.7559,41.9624
1205,-87.6302,41.85306
1206,-87.6369,41.88982
1207,-87.686,41.86887
1208,-87.662,42.00936
1209,-87.6605,41.99438
1210,-87.6485,41.92172
1211,-87.6473,41.87384
1212,-87.6433,41.72869
1213,-87.7477,41.96084
1214,-87.6499,41.95856
1215,-87.6636,41.76478
1216,-87.6736,41.772
1217,-87.7555,41.89133
1218,-87.6394,41.877
1219,-87.6351,41.87792
1220,-87.6331,41.90365
1221,-87.6747,42.01244
1222,-87.6281,41.87951
1223,-87.7146,41.80805
1224,-87.686,41.85943
1225,-87.8005,41.9236
1226,-87.6965,41.8775
1227,-87.7327,41.96096
1228,-87.6708,41.9324
1229,-87.6294,41.81627
1230,-87.7754,41.91781
1231,-87.6549,41.97348
1232,-87.6596,41.97164
1233,-87.6742,41.79347
1234,-87.6891,41.97787
1235,-87.7263,41.906
1236,-87.625,41.90419
1237,-87.6971,41.9174
1238,-87.6302,41.78151
1239,-87.6206,41.88736
1240,-87.6471,41.69237
1241,-87.6253,41.88674
1242,-87.7046,41.80487
1243,-87.7373,41.85861
1244,-87.694,41.70619
1245,-87.7594,41.94593
1246,-87.6951,42.0483
1247,-87.7389,41.91696
1248,-87.7934,41.93814
1249,-87.6167,41.75104
1250,-87.5607,41.71352
1251,-87.674,41.96874
